,Florida,California,Texas,New York,North Carolina,Massachusetts,Virginia,Colorado,New Jersey,Arizona,Utah,Georgia,the District of Columbia,Michigan,Washington,Connecticut,South Carolina,Iowa,Pennsylvania,Maryland,Idaho,Louisiana,Illinois,Wyoming,Nevada,Vermont,Oregon,Kansas,Rhode Island,Minnesota,New Hampshire,Indiana,Missouri,Alabama,Montana,Ohio,Nebraska,West Virginia,Mississippi,Delaware,Tennessee,New Mexico,Maine,Wisconsin,Oklahoma,Hawaii,Arkansas,North Dakota,Kentucky,South Dakota,Alaska
2000-01-01,109227.73775121116,191399.82264122198,115474.40108407763,152619.2696612679,131756.65590539863,200893.23451052152,127017.9658241413,181670.51352566955,171915.13868969423,137315.60922688275,171831.76526669037,128299.47234218493,164322.6011939792,118762.18032101291,178772.30020550144,165619.00611982646,116380.15854409698,92631.45862443319,101660.39922993112,154588.12104885586,126869.4762296639,111462.94275678159,130585.49969431548,,157070.7252076928,117110.34523649876,154573.27865111703,91099.67419525326,135236.5947760925,127389.8631889323,136726.90311096708,99897.48444000704,99859.93756711282,102047.757693966,,107319.67482551305,118342.24755999884,75427.39488993258,91522.89257859418,151764.399027278,114516.61274157294,,108961.31323912163,122967.92308580551,85164.5914930658,194915.94961950782,90708.31020402008,,91978.69146052597,109440.79173414434,137324.83213435396
2000-02-01,109464.3351988541,192043.1745743655,115537.1528564381,153162.74418074323,131957.10662573302,201563.95019325984,127346.64159369929,182315.57488366865,172378.56157791594,137564.3281639306,171925.9090104738,128590.8182574764,164860.06488931418,118827.59169457947,179175.54602140235,166249.9714702057,116637.079055715,92808.47299283158,101877.84312497603,154566.6800609409,126792.56600425114,111677.9447040718,130690.15182323146,,157090.3595333746,117306.44346905971,154913.20171512803,91117.55723338758,135851.63923773955,127818.66215104377,137191.38581869449,99760.12770433366,99976.98110799407,102225.45956951429,,107385.25688205916,118531.42253434664,75424.1661924913,91472.69854396998,152000.50960224372,114612.14349702321,,109323.8295268926,122932.23409988495,85199.7221031843,194825.7695354336,90829.53753677223,,92026.17960737558,109208.26620761854,137480.80413198174
2000-03-01,109751.1384668309,192911.8572226851,115567.58844912378,153685.92604937873,132163.56684290056,202361.99601670538,127695.11506299366,183028.43441839438,172820.74865567786,137884.434004341,172073.71447173343,128926.98278735345,165622.67045117306,119067.0672376046,179586.89265534747,166908.80417175204,116846.4302839891,92975.5819766154,102082.18197695892,154676.210585945,126841.29545522621,111845.01928819968,130916.36209544535,,157333.46251929598,117614.40893550585,155223.74527477086,91222.91400558654,136497.5370941603,128217.61007751175,137745.86623478544,99605.85404246778,100152.21428778711,102344.52328347585,,107484.71554731579,118706.7529428986,75448.5466505701,91470.51490385395,152294.48852074094,114709.57439791442,,109647.5102783011,123069.80196391977,85363.47713208465,195124.92620205073,90967.08015499405,,92112.58234706847,108882.86393795023,137636.69455679652
2000-04-01,110334.13574335347,194797.50823655992,115718.64299453744,154811.14802315593,132611.41552088634,203933.80977707796,128353.61402391228,184622.3627105763,173800.42824607433,138538.071681711,172444.56093283524,129634.75668030645,167257.85369790657,119544.10157750545,180417.09532358753,168024.99651468484,117326.3372498827,93336.53280941519,102498.59350770245,154940.51098341926,126942.46871331915,112221.67954917131,131448.51877628374,,157890.57608978174,118219.54291514265,155875.40037828838,91380.4150473248,137773.72586114533,129154.09137582484,138578.21820077,99136.87878552503,100552.75800579683,102611.26165279203,,107777.17855173303,118978.918938966,75510.25503552619,91536.49807054824,152966.8116471894,114943.98544788623,,110360.59761044796,123267.36256759637,85661.66645462553,195643.8645523386,91260.75587138494,,92327.30105936421,108444.25657826678,137819.5175888234
2000-05-01,110962.83548146665,196989.2934836615,115816.46828700481,155975.35053476595,133110.3438341484,205635.2207644525,128989.32264141447,186401.46302675616,174799.1345603069,139278.97923367258,173788.52669175682,130415.40309306432,169072.60450227346,120247.5880056775,181323.2093361258,168942.2107086158,117774.40520840937,93735.3277448644,102926.35241425433,155493.59551161292,127272.37647543434,112620.74726809737,132079.93931285365,,158600.48769804733,118916.41483114824,156456.5380973004,91617.83376630803,139045.39049590638,130181.43058458685,139489.2751468002,98910.28010643121,101070.14440107819,102908.76496208447,,108223.11190608593,119116.9368968613,75630.6449904453,91857.58421141311,153733.6260970528,115214.38645972771,,111032.32957565237,123661.51158493331,86062.18108711542,196660.42086356124,91550.41126537487,,92612.66818623972,108261.78309996366,138094.74333907224
2000-06-01,111604.31177361088,199354.22339829348,115926.15425446228,157234.17540735877,133641.0812475363,207478.6680738397,129603.21175028394,188322.60796164823,175991.08043820583,139943.8699992137,175270.16994209305,131242.6255341397,171021.89381330725,121020.22758572153,182188.21442658405,169850.6896428303,118267.96001460386,94137.85032823331,103365.97284665554,156162.30674803522,127675.57947616336,113055.46089505608,132789.57544158012,,159237.8131054005,119567.09161197224,156995.95202988884,91885.63627674767,140014.30254743915,131369.2293434318,140451.71803331445,98977.21257125885,101641.8890951875,103268.45838343645,,108776.42234741431,119198.61212498457,75830.64017094484,92316.9694101769,154579.61897514088,115482.74745077263,,111786.44672919503,124124.11483346969,86441.87754456309,197808.46329160407,91828.50354938056,,92926.37086186797,108136.75053985686,138300.49113710618
2000-07-01,112248.8385465278,201851.75830663892,115998.23490603354,158365.85449889707,134159.35454498642,209660.15161224196,130348.40797221883,190269.22239275472,177339.87709437063,140619.99861220567,176755.4876647234,132078.51168163246,172872.4962175104,121921.61475896828,183127.9528915889,170866.05181829853,118746.908723552,94546.62745869144,103832.8226320413,156953.73874719522,128074.31367335975,113480.44368372839,133559.27410387684,,159731.77182381635,120215.23170830721,157445.0776530685,92233.98797589855,140899.82202461493,132675.77785606877,141787.3879812774,99463.60815322404,102263.48212293524,103601.52076046796,,109323.39991042484,119293.21102701586,76093.45430550694,92741.2244887511,155440.38164561408,115773.03564046217,,112597.39550818001,124736.73024015264,86835.0554657957,198956.55477734227,92097.29917131936,,93280.06221170182,108049.55854284774,138729.821270531
2000-08-01,112905.25601688017,204459.31663473058,116211.4777970165,159356.44727713638,134648.09371939208,212344.69493964734,131227.17117811946,192382.360699598,178978.8568139891,141269.47558780518,177367.28998936116,132962.09594722497,174464.34095317998,122831.49585698756,183996.27537436716,172094.42917734347,119274.15485219599,94896.1917952504,104278.48130124334,157688.18828949265,128477.02184641919,113816.47594057198,134654.8480297849,,160207.6751953583,120885.32312542178,157924.78639882873,92612.26684092269,141787.13963913452,134465.18635548349,143352.14958245723,99959.3805743663,102933.75647579005,103902.50931353495,,109855.02520573694,119519.6050468853,76437.2348033709,93145.29620403722,156277.97019711704,116072.64553336322,,113441.04958065781,125413.8126841403,87201.06523723119,200285.02244686897,92403.09524258558,,93684.6750573365,107889.35409507334,138931.75156830033
2000-09-01,113585.63739308185,207072.92613388633,116491.11436068833,160236.6840891484,135125.12341798237,215361.27798762638,132187.50253935828,194600.65631498268,180791.23510828722,141987.79288062477,177902.2266887785,133865.1689081028,175660.05861580046,123701.15544938699,184786.6583130081,173387.79474525477,119818.4648896923,95260.82693681896,104732.56571931961,158438.809652936,128814.14550156782,114199.18273048836,135943.26230504722,,160780.44272780235,121626.13149892085,158328.1595510375,92966.5996409575,142880.41836207235,136315.06904393324,145033.223180176,100346.78828902334,103608.63337182345,104225.37383563553,,110377.38293132167,119796.14620578832,76745.06574870303,93505.25035832993,157051.14425366247,116430.60806335304,,114319.00559837984,126092.05785942943,87533.7745592085,201598.1629673535,92748.96498877909,,94133.76000852724,108112.54197451992,139115.95727805942
2000-10-01,114280.20060097263,209551.4759392028,116790.75031394981,161180.1821464495,135629.4486714625,218547.85349128474,133096.1318783431,196803.97737136934,182623.88238800387,142679.9051329472,178354.06669363857,134803.7636160487,175964.69524617668,124513.38165011753,185474.8952443643,174803.18042973205,120354.22365477159,95710.23009752238,105168.04935195931,159230.93543513343,129139.67087014725,114652.38692044787,137430.3271958039,,161424.38051918926,122517.62635272834,158733.34602630246,93328.85941108539,143976.24246058232,138208.2577798371,146967.43647389548,100821.07506255282,104326.06583813946,104595.84539523262,,110881.98850213354,120086.5220634378,77100.10635829123,94004.66977519517,157741.5897911097,116777.28771531768,,115149.04642269689,126756.1591037495,87831.11560355574,202972.80795102954,93096.42728691951,,94553.30584034072,108362.69894879672,139056.9000366611
